hour,dispatch_date,lat,lng,crime
0.0,2024-02-14,39.96635155,-75.20321889,Burglary Residential
7.0,2024-06-25,39.97088125,-75.2408585,Theft from Vehicle
11.0,2024-06-01,39.94530467,-75.14361615,Theft from Vehicle
12.0,2024-04-12,40.03578794,-75.12040536,Thefts
20.0,2024-01-17,39.96700335,-75.23467231,Thefts
8.0,2024-02-11,40.077853,-75.03546496,Theft from Vehicle
12.0,2024-01-20,39.9874565,-75.17283643,Burglary Non-Residential
11.0,2024-01-07,39.92439906,-75.14615466,Thefts
8.0,2024-02-03,40.01053234,-75.15452382,Aggravated Assault No Firearm
18.0,2024-03-29,40.0408649,-75.07510232,Thefts
12.0,2024-04-02,40.02918587,-75.12307981,Robbery No Firearm
2.0,2024-04-08,39.91713673,-75.24590238,Robbery Firearm
21.0,2024-05-21,40.03362806,-75.08902389,Theft from Vehicle
12.0,2024-08-15,40.03565885,-75.08764989,Robbery No Firearm
12.0,2024-06-02,39.95726692,-75.14219618,Theft from Vehicle
17.0,2024-07-03,40.04040508,-75.06554256,Aggravated Assault Firearm
15.0,2024-03-08,39.92327435,-75.23258265,Thefts
16.0,2024-07-19,39.99724673,-75.16722403,Theft from Vehicle
18.0,2024-03-18,39.94838748,-75.16795328,Thefts
21.0,2024-02-17,40.04084471,-75.2236898,Thefts
2.0,2024-05-11,39.99171021,-75.17981212,Aggravated Assault No Firearm
4.0,2024-06-01,40.01434043,-75.14122202,Aggravated Assault No Firearm
8.0,2024-03-28,40.10357468,-75.01094597,Theft from Vehicle
16.0,2024-04-04,39.95185031,-75.16813922,Thefts
15.0,2024-01-28,39.99161779,-75.13613394,Thefts
0.0,2024-02-04,39.95051591,-75.22084094,Robbery No Firearm
19.0,2024-08-19,39.93833865,-75.17740332,Theft from Vehicle
13.0,2024-07-09,39.96691681,-75.23133087,Aggravated Assault Firearm
20.0,2024-07-01,40.03006942,-75.05602341,Thefts
8.0,2024-04-07,39.94555139,-75.2385533,Thefts
17.0,2024-01-04,,,Thefts
12.0,2024-01-05,,,Thefts
7.0,2024-01-02,39.99491685,-75.15846672,Aggravated Assault Firearm
6.0,2024-05-26,39.98366268,-75.10063502,Thefts
10.0,2024-07-12,,,Theft from Vehicle
20.0,2024-01-23,40.04780696,-75.05992064,Thefts
19.0,2024-01-16,40.04943566,-75.06038434,Thefts
12.0,2024-07-19,,,Theft from Vehicle
12.0,2024-07-05,40.04616751,-75.08649657,Thefts
14.0,2024-01-08,39.95650778,-75.19032944,Thefts
9.0,2024-06-17,39.96587699,-75.14000918,Theft from Vehicle
10.0,2024-07-17,39.97724957,-75.11844842,Thefts
4.0,2024-04-27,39.92157953,-75.2316298,Aggravated Assault No Firearm
6.0,2024-07-19,39.97724957,-75.11844842,Thefts
16.0,2024-01-20,39.93815373,-75.17197544,Thefts
14.0,2024-06-26,39.97725765,-75.11845018,Thefts
20.0,2024-01-15,40.07802487,-75.02703594,Thefts
20.0,2024-07-07,,,Thefts
17.0,2024-06-19,,,Thefts
20.0,2024-04-21,39.99051344,-75.15479185,Thefts
14.0,2024-05-15,40.00963469,-75.17580691,Thefts
8.0,2024-07-19,40.05435594,-75.04785119,Theft from Vehicle
14.0,2024-02-01,40.06932226,-75.00607698,Thefts
14.0,2024-01-30,39.9921912,-75.1010067,Thefts
2.0,2024-01-03,40.03009192,-75.17082336,Burglary Residential
17.0,2024-06-15,39.93593708,-75.18643082,Thefts
18.0,2024-07-16,40.04692829,-75.13548369,Thefts
15.0,2024-08-20,40.07518043,-75.02311048,Thefts
8.0,2024-02-02,39.93339366,-75.14596708,Theft from Vehicle
11.0,2024-05-15,39.97724957,-75.11844842,Thefts
17.0,2024-01-11,,,Robbery Firearm
3.0,2024-04-13,39.99727725,-75.08841116,Thefts
12.0,2024-07-22,39.99917779,-75.10963459,Aggravated Assault No Firearm
10.0,2024-06-05,39.94692408,-75.16676092,Thefts
19.0,2024-01-25,40.02187523,-75.08748381,Aggravated Assault No Firearm
11.0,2024-04-06,39.95209582,-75.16150248,Thefts
16.0,2024-01-06,39.97280664,-75.21639708,Thefts
11.0,2024-02-12,40.00609204,-75.21231869,Thefts
6.0,2024-08-08,40.03675288,-75.06979373,Thefts
6.0,2024-01-03,39.98340351,-75.10114609,Thefts
11.0,2024-06-01,40.0408649,-75.07510232,Thefts
17.0,2024-05-31,39.97772775,-75.15639524,Thefts
20.0,2024-07-19,39.9184438,-75.18440337,Robbery Firearm
16.0,2024-04-16,40.01453619,-75.1311353,Robbery No Firearm
8.0,2024-08-05,39.9195466,-75.18639344,Thefts
